x	y	feature
3410.8286	863.32196	Ano1
3421.7356	859.7969	Ano1
3540.9622	805.0419	Ano1
3462.5996	861.5748	Spag16
3181.7495	762.6588	Ebf3
3403.9043	881.79236	Ebf3
3624.1938	871.4579	Ebf3
3244.6003	769.8551	Nts
3461.7996	827.4667	Nts
3536.53	809.20233	Nts
3422.3765	877.2794	Ebf3
3197.7747	629.0522	Spag16
3169.1472	776.2177	Chat
3247.7505	769.4516	Ano1
3406.153	855.3154	Ano1
3412.4478	872.24225	Ano1
3547.0293	871.64844	Ebf3
3258.623	742.90234	Trp73
3432.4214	855.45135	Nts
3924.1348	818.88574	Trp73
4101.142	507.42813	Trp73
3757.573	796.8186	Ano1
3894.2297	527.1572	Ano1
3921.3438	778.45966	Ano1
3983.0742	775.59973	Ano1
3995.321	846.7922	Ano1
4005.7083	815.2158	Ano1
4009.8848	823.96094	Ano1
4071.8787	799.62354	Ano1
4124.9575	822.4982	Ano1
4190.3584	710.8175	Ano1
4068.8535	493.12347	Ebf3
4069.7302	493.21542	Ebf3
4072.6387	797.0421	Nts
4073.3262	798.08356	Nts
3990.5007	510.62677	Spag16
4029.6938	743.2599	Spag16
4045.9016	495.77115	Spag16
4161.88	773.9188	Trp73
4118.4194	539.9713	Ebf3
3758.3137	798.6188	Ano1
3916.8113	494.0533	Ano1
4020.2559	853.5095	Chat
4023.337	851.57245	Chat
4142.167	746.1302	Ano1
3758.1257	794.6822	Ano1
4001.8481	802.3432	Ano1
4006.6348	822.7814	Ano1
4010.4282	819.7044	Ano1
4126.722	827.7656	Ano1
4128.073	824.46423	Ano1
4156.097	889.0948	Ano1
4035.804	829.64307	Spag16
4095.8918	799.9748	Spag16
4020.6965	854.97296	Chat
3717.9673	778.8944	Spag16
3925.0103	834.52606	Spag16
3995.043	462.45062	Spag16
4065.4219	767.7933	Spag16
3653.4756	782.21204	Ebf3
4052.728	701.2354	Ebf3
4074.2236	798.20544	Nts
4118.4116	541.66766	Ebf3
4025.2053	854.0988	Chat
4070.8372	866.0002	Chat
4066.2004	856.7954	Chat
4069.6616	859.90265	Chat
3886.2075	509.40674	Ebf3
4106.0874	596.9451	Ano1
4183.1216	795.4173	Ebf3
4208.507	665.97925	Ebf3
4221.048	844.1146	Ebf3
4276.52	639.6261	Chat
4256.9805	706.5446	Ano1
4337.3325	817.8866	Ano1
4416.3584	867.3275	Ano1
4457.706	629.2711	Ano1
4506.8477	663.93396	Ano1
4511.8877	708.29614	Ano1
4817.8438	853.0949	Ano1
4438.7896	631.1077	Ebf3
4680.506	815.4179	Ebf3
4764.7607	652.75256	Ebf3
4767.7017	615.66113	Ebf3
4366.669	855.4564	Nts
4323.0845	814.9045	Ebf3
4357.7	650.51917	Ebf3
4406.8477	863.7973	Ano1
4451.5786	634.08014	Ano1
4453.962	626.2086	Ano1
4486.9014	754.75024	Ano1
4518.341	707.34467	Ano1
4572.879	706.1011	Ano1
4461.0107	626.96423	Ano1
4508.2856	666.1434	Ano1
4275.9272	587.7612	Ano1
4414.903	867.3773	Ano1
4441.174	752.033	Ano1
4506.2407	674.18024	Ano1
4509.161	861.0426	Chat
4511.273	858.91034	Chat
4615.6284	160.79782	Spag16
4785.1094	225.49043	Ebf3
4230.9966	596.4313	Nts
4556.1904	721.42883	Ebf3
4784.173	226.76057	Ebf3
4351.6143	728.89624	Spag16
4505.373	749.4352	Spag16
4510.463	860.02246	Chat
4252.988	598.96106	Ebf3
4278.28	592.2082	Ano1
4323.9834	814.5761	Ebf3
4455.1626	628.5718	Ebf3
4575.9146	889.45544	Ebf3
4604.9795	662.0702	Ano1
4615.7134	265.20758	Ebf3
4314.5493	582.54834	Trp73
4817.4478	624.4523	Trp73
4455.2827	3317.868	Chat
4465.383	2933.776	Chat
4526.414	2686.176	Chat
4574.9727	3136.3284	Chat
4599.9775	2999.5017	Chat
4610.35	2969.588	Chat
4630.2734	3165.812	Chat
4632.1924	3160.9612	Chat
4648.9883	3090.6863	Chat
4651.6387	3121.0083	Chat
4653.343	3087.8728	Chat
4654.3105	3140.3694	Chat
4655.3794	3183.2798	Chat
4655.733	3150.1343	Chat
4657.8237	3150.3464	Chat
4660.052	3207.4219	Chat
4661.2827	3107.7068	Chat
4662.4478	3079.8445	Chat
4663.238	3101.606	Chat
4669.907	3090.4849	Chat
4671.5215	3114.4106	Chat
4672.9473	3091.4055	Chat
4682.169	3174.117	Chat
4684.6445	3212.4348	Chat
4685.2666	3069.2324	Chat
4688.311	3070.1445	Chat
4692.8057	3143.9812	Chat
4693.0713	3119.164	Chat
4693.5874	3125.296	Chat
4693.9336	3111.6143	Chat
4697.5674	3147.3643	Chat
4699.54	3094.1594	Chat
4701.6147	3084.427	Chat
4702.5146	2940.948	Chat
4702.9424	3104.527	Chat
4709.677	3238.3909	Chat
4709.8955	3088.3032	Chat
4710.6753	3221.5625	Chat
4710.7114	3171.5784	Chat
4711.048	3121.0737	Chat
4711.8984	3128.956	Chat
4714.6846	3123.6873	Chat
4715.6934	3132.1008	Chat
4715.9053	3205.4578	Chat
4717.572	3163.3237	Chat
4718.0195	3210.477	Chat
4720.4053	3129.0288	Chat
4721.534	3145.4758	Chat
4723.3267	3147.8135	Chat
4723.438	3201.9475	Chat
4724.1846	3124.9263	Chat
4725.9756	3197.5776	Chat
4729.6846	3091.7827	Chat
4732.183	3071.1777	Chat
4734.1084	3196.3862	Chat
4734.2993	3199.6555	Chat
4739.313	3249.303	Chat
4740.388	3157.7441	Chat
4742.099	3152.1194	Chat
4746.086	3188.069	Chat
4746.8384	3193.2222	Chat
4748.393	3139.719	Chat
4748.6343	3192.6526	Chat
4748.7676	3187.4824	Chat
4751.7954	3196.1157	Chat
4752.774	3155.2266	Chat
4753.7764	3198.8489	Chat
4761.3887	3119.4434	Chat
4761.895	3166.0217	Chat
4762.253	3209.7942	Chat
4764.9824	3177.0398	Chat
4764.979	3184.651	Chat
4765.2134	3113.019	Chat
4765.8354	3182.074	Chat
4767.9795	3160.6663	Chat
4768.432	3159.1204	Chat
4768.6074	3057.1848	Chat
4770.389	3098.3809	Chat
4770.4897	3143.0884	Chat
4772.5376	3116.0417	Chat
4772.7	3176.4011	Chat
4774.4077	3201.0608	Chat
4775.4688	3069.136	Chat
4776.4717	3127.854	Chat
4778.414	3119.2078	Chat
4779.9033	2975.2336	Chat
4780.651	3219.6196	Chat
4782.079	3055.6458	Chat
4786.0127	2959.0813	Chat
4787.3433	3036.9116	Chat
4789.462	3128.464	Chat
4790.8877	3057.5376	Chat
4791.583	3125.6753	Chat
4791.683	3064.9492	Chat
4792.6543	3198.8806	Chat
4793.362	3095.289	Chat
4793.324	3194.7527	Chat
4793.863	3207.923	Chat
4794.4907	3061.8147	Chat
4798.4946	3280.048	Chat
4800.0654	3117.391	Chat
4801.758	3225.6787	Chat
4802.351	3262.8113	Chat
4802.8066	3149.7998	Chat
4803.7207	3275.6382	Chat
4805.594	3251.668	Chat
4805.8716	3193.3113	Chat
4806.2334	3246.5503	Chat
4806.3457	3273.088	Chat
4807.603	3229.8887	Chat
4807.86	3169.457	Chat
4807.9194	3233.0833	Chat
4809.6978	3181.6738	Chat
4811.287	3098.6404	Chat
4814.8735	3212.9875	Chat
4816.2056	3083.6133	Chat
4816.718	3113.4714	Chat
4816.9365	2987.1711	Chat
4817.46	3179.297	Chat
4819.2554	3111.191	Chat
4821.8115	3156.7063	Chat
4830.938	3124.4849	Chat
4831.686	3155.6934	Chat
4832.244	3145.7854	Chat
4833.786	3034.7773	Chat
4833.828	3247.7947	Chat
4836.4346	3017.6182	Chat
4840.5464	3135.5725	Chat
4842.2715	3116.0386	Chat
4842.37	3129.8333	Chat
4843.3604	3199.981	Chat
4273.961	3121.0352	Trp73
4274.1133	3118.7817	Trp73
4307.274	2931.8484	Trp73
4321.0557	3005.7446	Trp73
4345.8037	2835.107	Trp73
4409.808	2860.924	Trp73
4450.3975	3065.6116	Trp73
4486.0938	3003.5925	Trp73
4486.4927	3031.573	Trp73
4494.65	3021.8442	Trp73
4500.6187	3024.496	Trp73
4501.2695	3026.047	Trp73
4501.7026	3023.867	Trp73
4503.3706	3024.1765	Trp73
4512.729	3004.916	Trp73
4533.395	2804.2427	Trp73
4536.7256	3010.0708	Trp73
4593.2266	2976.3538	Trp73
4610.9756	3048.079	Trp73
4617.6064	2926.2468	Trp73
4620.657	2925.6985	Trp73
4628.033	2966.933	Trp73
4660.9805	2859.7432	Trp73
4666.6147	2860.2583	Trp73
4666.9546	2857.6003	Trp73
4667.063	2859.1921	Trp73
4667.455	2860.387	Trp73
4674.244	2727.671	Trp73
4674.6494	2725.9465	Trp73
4697.783	2842.5664	Trp73
4703.0283	2775.454	Trp73
4703.3604	2863.357	Trp73
4706.005	2799.9587	Trp73
4708.683	3006.5247	Trp73
4708.861	2835.6885	Trp73
4711.0254	2796.3633	Trp73
4713.597	2759.0896	Trp73
4715.0547	2867.4197	Trp73
4719.823	2787.092	Trp73
4721.3276	2873.5496	Trp73
4722.955	2873.1301	Trp73
4726.788	2875.3257	Trp73
4729.0483	2847.5493	Trp73
4729.6807	3196.7385	Trp73
4729.923	2849.8577	Trp73
4732.056	2713.5806	Trp73
4732.586	2764.4753	Trp73
4736.4917	2767.4995	Trp73
